,0,14,30,6,18,34,7,8,15,35,36,37,38,39,40,41,42,43
38,0.4014,0.4924,0.4827,0.4669,0.4706,0.4724,0.4378,0.4858,0.4598,0.448,0.4562,0.452,0.4515,0.376,0.4556,0.4453,0.4181,0.4816
39,0.4066,0.5004,0.49,0.4742,0.4779,0.4798,0.4464,0.4942,0.4685,0.4553,0.464,0.4575,0.4593,0.3847,0.4659,0.4541,0.427,0.4899
40,0.4118,0.5085,0.4973,0.4815,0.4853,0.4872,0.455,0.5026,0.4773,0.4627,0.4718,0.4631,0.4671,0.3933,0.4763,0.4629,0.4359,0.4982
41,0.417,0.5165,0.5047,0.4888,0.4927,0.4945,0.4635,0.5109,0.486,0.4701,0.4796,0.4686,0.475,0.402,0.4866,0.4717,0.4447,0.5065
42,0.4221,0.5246,0.512,0.4961,0.5001,0.5019,0.4721,0.5193,0.4948,0.4774,0.4873,0.4741,0.4828,0.4106,0.4969,0.4805,0.4536,0.5147
43,0.4273,0.5327,0.5193,0.5034,0.5075,0.5093,0.4807,0.5277,0.5036,0.4848,0.4951,0.4797,0.4907,0.4193,0.5073,0.4893,0.4625,0.523
44,0.4325,0.5407,0.5267,0.5107,0.5148,0.5166,0.4893,0.5361,0.5123,0.4921,0.5029,0.4852,0.4985,0.428,0.5176,0.4981,0.4713,0.5313
45,0.4377,0.5488,0.534,0.518,0.5222,0.524,0.4979,0.5445,0.5211,0.4995,0.5107,0.4908,0.5063,0.4366,0.5279,0.5069,0.4802,0.5396
46,0.4475,0.557,0.5417,0.5258,0.53,0.5318,0.5067,0.5531,0.53,0.5092,0.5206,0.4992,0.516,0.4462,0.538,0.5159,0.4893,0.5481
47,0.4573,0.5651,0.5495,0.5336,0.5379,0.5397,0.5155,0.5616,0.5389,0.519,0.5305,0.5076,0.5256,0.4558,0.548,0.5248,0.4984,0.5565
48,0.4671,0.5733,0.5572,0.5414,0.5457,0.5476,0.5243,0.5702,0.5478,0.5287,0.5404,0.5159,0.5353,0.4654,0.558,0.5338,0.5075,0.565
49,0.4769,0.5815,0.565,0.5492,0.5535,0.5554,0.533,0.5787,0.5567,0.5385,0.5504,0.5243,0.5449,0.475,0.5681,0.5427,0.5166,0.5734
50,0.4867,0.5897,0.5727,0.5569,0.5613,0.5633,0.5418,0.5873,0.5656,0.5482,0.5603,0.5327,0.5546,0.4846,0.5781,0.5517,0.5257,0.5819
51,0.4965,0.5978,0.5804,0.5647,0.5692,0.5711,0.5506,0.5958,0.5745,0.5579,0.5702,0.5411,0.5642,0.4942,0.5881,0.5607,0.5348,0.5904
52,0.5063,0.606,0.5882,0.5725,0.577,0.579,0.5594,0.6044,0.5833,0.5677,0.5801,0.5495,0.5739,0.5038,0.5982,0.5696,0.5439,0.5988
53,0.5161,0.6142,0.5959,0.5803,0.5848,0.5868,0.5682,0.6129,0.5922,0.5774,0.5901,0.5579,0.5835,0.5133,0.6082,0.5786,0.553,0.6073
54,0.5259,0.6224,0.6036,0.5881,0.5926,0.5947,0.577,0.6215,0.6011,0.5872,0.6,0.5663,0.5932,0.5229,0.6182,0.5875,0.5621,0.6158
55,0.5368,0.6311,0.6128,0.5974,0.602,0.6041,0.5869,0.631,0.611,0.5974,0.6101,0.5759,0.6031,0.5347,0.628,0.5973,0.5726,0.6252
56,0.5478,0.6399,0.622,0.6068,0.6113,0.6136,0.5969,0.6404,0.6209,0.6076,0.6202,0.5854,0.6131,0.5465,0.6378,0.607,0.5831,0.6347
57,0.5587,0.6487,0.6312,0.6162,0.6206,0.6231,0.6069,0.6499,0.6308,0.6178,0.6304,0.5949,0.6231,0.5583,0.6476,0.6168,0.5936,0.6441
58,0.5696,0.6575,0.6403,0.6256,0.6299,0.6325,0.6169,0.6594,0.6407,0.6279,0.6405,0.6044,0.6331,0.5701,0.6574,0.6266,0.6041,0.6536
59,0.5806,0.6662,0.6495,0.6349,0.6393,0.642,0.6269,0.6688,0.6505,0.6381,0.6506,0.614,0.6431,0.5819,0.6672,0.6363,0.6146,0.663
60,0.5915,0.675,0.6587,0.6443,0.6486,0.6515,0.6369,0.6783,0.6604,0.6483,0.6607,0.6235,0.6531,0.5937,0.6769,0.6461,0.625,0.6725
61,0.6025,0.6838,0.6679,0.6537,0.6579,0.6609,0.6468,0.6878,0.6703,0.6585,0.6709,0.633,0.663,0.6055,0.6867,0.6558,0.6355,0.6819
62,0.6134,0.6926,0.677,0.663,0.6673,0.6704,0.6568,0.6972,0.6802,0.6687,0.681,0.6426,0.673,0.6173,0.6965,0.6656,0.646,0.6914
63,0.6243,0.7014,0.6862,0.6724,0.6766,0.6798,0.6668,0.7067,0.6901,0.6789,0.6911,0.6521,0.683,0.6291,0.7063,0.6753,0.6565,0.7008
64,0.6391,0.7129,0.6987,0.6853,0.6894,0.6927,0.68,0.7187,0.7026,0.6918,0.7035,0.6653,0.6956,0.6458,0.7183,0.688,0.6704,0.7129
65,0.6539,0.7244,0.7112,0.6982,0.7022,0.7056,0.6932,0.7307,0.7152,0.7047,0.7159,0.6785,0.7082,0.6624,0.7302,0.7008,0.6842,0.725
66,0.6687,0.7359,0.7237,0.711,0.7151,0.7185,0.7064,0.7427,0.7278,0.7176,0.7283,0.6918,0.7207,0.679,0.7422,0.7135,0.698,0.737
67,0.6835,0.7474,0.7363,0.7239,0.7279,0.7313,0.7196,0.7547,0.7404,0.7304,0.7407,0.705,0.7333,0.6957,0.7542,0.7262,0.7119,0.7491
